# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (domain:PD FAO.udpate:2022-03-01T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Czechia,167,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,38.6576,43.9836,51.911,55.7828,51.74,55.789,53.6811,48.9631,52.1174,62.1991,73.1196,83.5085,89.6668,95.6929,110.32,133.776,122.902,120.926,130.483,119.653,121.329,117.341,100,101.799,107.821,118.97,117.082
Czechoslovakia,51,GDP Deflator,22024,"Value US$, 2015 prices",6179,21.9882,22.2529,23.0643,21.9149,30.1033,31.8587,33.2393,33.7987,35.9221,36.1563,35.0863,30.7209,29.8693,34.1682,37.602,36.2321,35.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Peoples Republic of Korea,116,GDP Deflator,22024,"Value US$, 2015 prices",6179,64.7384,64.7384,64.7384,64.7384,64.7384,64.7384,64.7384,64.7384,64.7384,78.4172,75.5425,69.4255,65.9835,73.5828,76.4854,74.3891,81.522,79.4107,77.3457,75.7632,68.4058,54.0303,32.9833,74.5134,77.6842,78.0185,73.5948,75.6307,75.7372,74.0788,73.6962,72.9617,82.0484,87.5629,92.5434,83.2813,75.8423,88.2958,98.5531,98.633,101.621,105.616,100,99.2531,106.379,111.765,104.011
Democratic Republic of the Congo,250,GDP Deflator,22024,"Value US$, 2015 prices",6179,25.3028,29.9194,33.59,33.4284,42.4494,63.6547,62.1161,58.0627,50.1483,50.2423,42.011,23.9481,25.4993,28.1349,23.3623,26.6159,45.5695,50.4298,52.6882,53.9788,81.3964,45.9327,44.33,45.8337,49.9601,53.1254,49.3694,50.4731,51.5802,52.396,50.8201,54.8554,60.0515,68.871,75.063,83.5467,76.5474,82.6479,92.6574,98.1334,100.849,101.253,100,103.888,93.4886,110.688,106.366
Denmark,54,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.7784,23.3596,28.0867,29.2023,32.0158,37.9731,42.6178,43.2873,37.9109,35.6977,34.9283,32.68,33.311,44.6361,55.3076,58.4184,56.4652,68.4348,67.9714,73.2216,68.56,70.9841,81.6241,80.4492,72.0564,71.8952,70.2203,62.4334,62.1625,67.0718,81.5704,91.5734,94.1429,96.9076,108.438,120.576,115.273,113.421,119.575,113.459,118.057,119.357,100,100.198,103.363,108.703,103.685
Djibouti,72,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.2308,26.3922,26.342,28.9346,35.3623,42.0165,44.1362,48.0815,49.5995,50.9774,50.874,51.1394,53.3676,58.3989,60.2865,63.6386,67.177,66.2318,69.7844,68.0852,65.0197,70.6024,66.6944,68.4572,64.7436,65.7349,67.1435,69.1325,70.5531,70.5535,71.9738,74.1817,76.4585,73.5877,77.3117,84.7701,83.3982,84.8514,87.9169,91.1395,96.3163,97.5991,100,100.399,100.652,98.092,98.6394
Dominica,55,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.0739,21.3847,21.8627,19.9355,21.637,24.3779,28.756,33.5609,34.1508,35.7606,38.4295,40.8024,44.0407,46.5251,49.1746,51.3864,55.7065,57.4936,61.8922,64.6074,66.3387,71.4066,71.9664,74.3161,75.3898,77.3048,79.2656,77.8525,79.4752,80.1035,77.6049,80.5476,79.3811,81.2601,82.4994,83.7438,90.4466,90.7152,92.244,90.4346,93.66,93.6145,100,103.907,100.576,104.14,106.367
Dominican Republic,56,GDP Deflator,22024,"Value US$, 2015 prices",6179,27.8128,32.7382,38.2852,39.3841,43.5512,44.0059,48.8971,54.6085,57.3923,61.8498,64.0038,75.9089,33.6197,39.3085,33.3832,29.8311,41.1905,49.3391,50.7362,53.2431,56.3437,59.7968,63.3167,64.098,68.2946,67.779,66.5264,69.0061,71.3108,68.6033,54.661,58.8325,86.0007,83.0089,88.3214,93.1532,93.0803,95.0097,100.184,102.336,100.803,100.939,100,99.722,100.709,100.675,99.6262
Ecuador,58,GDP Deflator,22024,"Value US$, 2015 prices",6179,17.6282,26.8794,28.3782,31.0723,37.0881,37.9374,43.4818,52.8894,61.0827,55.474,47.9046,46.0261,44.903,38.7556,35.3835,31.2741,32.9529,34.8687,37.2709,38.8747,39.9017,45.8904,48.2871,49.0066,52.4401,50.4565,37.1864,34.3179,44.069,49.3949,54.6273,56.9555,61.3597,66.2691,70.6762,80.463,80.9904,87.0364,91.965,96.5497,99.538,102.555,100,101.902,103.885,105.775,105.594
Egypt,59,GDP Deflator,22024,"Value US$, 2015 prices",6179,31.4088,36.2223,38.555,40.0496,47.4822,53.8766,32.5541,38.1467,24.6442,26.1667,27.1916,28.1726,29.0636,29.6489,30.382,31.4537,32.6868,33.9103,35.0571,38.3917,41.2529,44.318,49.3071,52.7582,55.158,56.6479,56.3019,55.6218,50.943600000000004,47.0839,39.0639,40.1175,45.8048,48.9004,56.0153,65.1996,71.0217,77.1307,81.6093,95.5277,91.5396,98.8551,100,81.5108,56.4924,68.6554,82.6473
El Salvador,60,GDP Deflator,22024,"Value US$, 2015 prices",6179,4.6173,5.1365,5.524,6.7722,8.022,8.0881,9.2085,10.448,11.0451,12.1322,13.6317,15.3007,18.4461,25.2774,28.8231,33.5435,39.0951,42.8038,45.0556,46.3706,49.6278,53.7955,58.7423,62.0582,63.476,65.4618,65.2901,66.7504,68.3999,68.9123,70.4463,71.6779,74.1198,77.6473,79.5048,83.0052,83.8544,86.7024,93.2634,96.5164,97.4464,98.7093,100,100.657,101.648,103.758,104.859
Equatorial Guinea,61,GDP Deflator,22024,"Value US$, 2015 prices",6179,8.342,8.6077,9.9986,10.3567,10.6915,12.7452,15.1693,15.6668,13.9407,16.1872,17.4136,17.3102,19.199,24.9238,29.0641,31.0576,29.0205,34.8043,35.0516,36.5251,32.9172,24.8749,29.0402,34.0863,33.5399,23.8964,32.4576,47.2813,41.1699,42.1583,50.5195,61.901,86.1581,96.8694,108.897,139.671,104.867,124.879,153.417,148.683,151.997,149.948,100,93.5649,107.658,125.119,110.005
Eritrea,178,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,49.026,54.2397,45.4935,52.0168,49.8028,47.7643,45.9401,40.8091,49.5939,44.2042,51.2068,67.0387,65.4461,56.3937,60.5038,67.9369,85.1075,94.1142,97.2616,104.238,101.082,102.683,100,100.542,97.8664,91.2072,86.7954
Estonia,63,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,40.6932,41.6574,42.5469,43.4391,44.2344,42.1634,44.4506,45.4747,40.7945,42.284,46.6306,58.0812,66.8822,70.9001,78.031,95.634,109.302,103.654,100.636,111.251,106.963,115.001,118.303,100,102.001,107.413,116.983,114.471
Eswatini,209,GDP Deflator,22024,"Value US$, 2015 prices",6179,52.3267,54.3552,47.6707,43.086,47.4286,52.4284,60.844,80.1163,82.8614,75.8326,80.9865,64.6183,47.5201,50.5514,60.7425,65.9325,62.2875,65.5989,68.3809,73.4138,72.0642,74.9994,85.5393,77.6975,80.9647,72.6476,68.8294,69.8181,61.313,54.5419,80.563,97.9972,106.073,103.637,104.605,98.5118,105.422,125.919,133.744,128.645,116.537,111.077,100,93.1088,105.648,109.535,105.45
Ethiopia,238,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,60.854,56.9302,56.9437,54.4455,54.7797,51.7635,46.6861,48.2276,44.1609,42.0138,47.2025,48.8446,53.4772,59.4345,67.5924,82.2656,83.2442,69.0222,70.6608,90.0681,89.807,94.784,100,106.351,103.362,101.015,107.874
Ethiopia PDR,62,GDP Deflator,22024,"Value US$, 2015 prices",6179,34.4411,38.1738,37.9956,40.5869,45.6604,49.2271,51.2004,51.5547,52.3907,53.3131,55.5063,68.9761,85.8203,83.8376,82.1304,78.0743,78.8863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,66,GDP Deflator,22024,"Value US$, 2015 prices",6179,31.5704,40.3179,48.2681,48.2163,47.4373,53.611,58.7648,70.5593,68.0703,67.29,65.1587,63.1226,63.6533,67.4251,65.8001,60.9341,60.8035,59.8028,63.5985,67.7998,71.1757,75.5234,80.3251,81.2942,83.4865,65.2139,70.2518,61.9792,59.8563,64.3668,80.0349,89.5138,95.9441,97.2227,107.737,111.245,91.9261,97.6418,114.269,118.567,119.416,108.568,100,102.714,105.792,105.688,104.548
Finland,67,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.8257,25.7416,29.9899,32.306,33.9243,35.7344,40.8969,46.9419,45.2969,44.2204,41.4033,41.6122,42.4557,54.3711,65.394,73.9997,76.8409,90.721,87.0717,79.305,63.2873,70.4864,87.8599,83.4549,75.3799,75.4955,72.9629,64.1299,64.3448,68.312,82.0768,90.8422,91.828,93.4849,104.802,115.572,111.549,106.692,114.923,109.379,115.921,117.723,100,99.8244,102.539,109.203,105.364
France,68,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.817,25.6944,32.7853,32.4155,34.5247,41.0059,47.984,53.9577,46.859,43.4353,41.0703,38.3484,39.3321,53.605,63.2856,65.896,63.5463,76.4347,75.6469,82.21,78.095,80.3957,90.4302,89.4359,79.0737,78.9751,75.8267,66.5916,65.9771,70.8243,86.5132,96.7233,98.7488,101.76,113.861,124.745,118.383,114.071,120.865,113.011,117.691,118.28,100,100.258,102.925,108.621,104.23
French Polynesia,70,GDP Deflator,22024,"Value US$, 2015 prices",6179,26.6935,29.1305,38.0778,39.8611,42.0123,48.3426,57.7778,65.5398,56.4945,51.6324,50.8679,49.8174,51.6541,72.7666,75.0727,77.0777,74.5325,87.7442,85.6566,92.4081,87.3652,90.2434,101.15,96.6588,90.8567,91.4686,87.2376,74.2336,71.9569,75.0084,90.791,100.215,101.491,103.594,114.859,123.273,118.763,112.9,118.549,109.952,115.996,117.486,100,100.864,103.233,108.024,102.9
Gabon,74,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.6325,30.0774,35.2629,36.2615,38.7219,43.3655,54.7343,75.4022,64.7342,62.5726,55.5496,54.243,57.1348,54.5315,64.4427,57.2273,56.7265,70.2393,65.9076,70.396,66.4623,48.847,55.0595,61.0107,54.1868,44.3438,51.0744,56.9122,50.7534,53.8926,63.8114,75.7325,91.4807,101.72,115.322,148.925,115.994,128.907,152.46,136.767,132.627,131.398,100,95.5771,101.249,113.843,109.148
Gambia,75,GDP Deflator,22024,"Value US$, 2015 prices",6179,94.6604,117.041,132.27,123.253,128.207,145.149,164.414,185.588,166.538,156.195,160.04,152.341,185.914,123.658,134.174,160.14,160.713,169.359,160.588,160.519,164.724,162.608,169.717,175.692,165.757,167.206,151.732,137.38,114.026,95.4802,78.6111,85.5416,93.5943,96.536,113.734,130.631,113.714,114.268,113.613,108.361,102.402,92.8295,100,104.434,102.189,105.619,108.385
Georgia,73,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,55.4199,56.7329,57.9444,59.1594,60.2426,62.4648,62.3604,46.974,50.3753,50.6039,50.6052,53.5585,65.012200000000007,74.1983,81.9235,95.5789,117.377,102.513,104.292,119.868,122.939,123.695,121.448,100,98.3974,100.677,104.048,99.7604
Germany,79,GDP Deflator,22024,"Value US$, 2015 prices",6179,25.2797,28.0081,31.1284,31.4205,35.1265,42.0499,48.0532,51.0969,42.8119,41.6994,40.7435,37.2804,36.8048,51.3945,62.8858,65.4478,62.8977,75.6727,75.948,84.9914,83.3967,86.7086,100.129,95.9363,83.4784,82.8298,79.6674,68.5572,67.4563,71.923,87.3913,97.2174,97.7625,99.0102,109.934,118.728,114.672,110.031,116.725,109.5,115.372,117.449,100,101.061,104.609,111.186,107.708
Ghana,81,GDP Deflator,22024,"Value US$, 2015 prices",6179,38.6057,42.0797,45.9774,48.5077,51.5217,55.1456,59.7208,65.1154,71.2768,75.6804,78.6447,81.4819,84.0588,85.7516,87.8718,90.9714,87.4655,100.403,107.224,101.506,83.9079,74.1338,84.5939,86.7333,82.736,85.7998,84.7541,52.5093,53.5763,59.3148,69.7765,77.0665,87.6904,99.5358,115.706,122.152,106.093,121.778,131.306,127.352,135.276,111.361,100,108.123,107.224,112.089,107.622
Greece,84,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.4363,22.3531,23.6678,24.1871,27.2742,31.1134,37.0872,38.4342,35.9499,37.9321,34.7053,33.058,32.1109,37.6663,44.8704,49.9813,49.9851,61.8125,64.3946,70.6831,67.2543,70.6589,81.2413,84.1574,79.05,76.7669,76.9147,65.3619,64.8991,70.5416,87.5165,99.2314,101.612,106.084,119.701,133.677,130.032,123.751,131.136,120.872,122.446,119.972,100,99.162,101.663,106.168,100.833
Greenland,85,GDP Deflator,22024,"Value US$, 2015 prices",6179,15.9725,18.3193,22.6229,24.3416,26.2227,31.1941,35.1514,36.6055,33.285,32.1592,32.1491,30.9063,32.4493,44.2523,54.762,59.1807,57.4117,71.2706,71.1781,76.5929,72.0461,73.7877,85.4959,83.4111,73.5982,73.2495,71.1038,62.6618,62.9278,68.3988,83.7707,91.6169,88.5719,91.318,99.7096,104.325,104.707,101.83,109.75,105.226,109.685,110.846,100,103.479,107.544,112.483,108.442
Grenada,86,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.1335,18.5912,22.2025,20.3954,21.614,25.3299,27.6597,30.1357,32.0555,33.751,34.6407,35.9347,37.6381,39.1495,40.8212,43.6084,45.0245,47.1279,48.2919,49.3577,50.639,51.7158,53.2948,54.7194,56.1012,55.1588,55.5405,72.4835,74.0375,74.3156,74.2562,75.7642,77.6339,81.2479,83.133,89.6557,89.6871,90.0767,90.277,93.9394,96.5756,97.3232,100,102.644,104.211,103.89,105.594
Guatemala,89,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.2362,16.4677,18.6281,20.7689,24.186,25.5149,27.7088,30.4849,33.0823,34.7363,37.0062,38.5431,45.771,34.5338,27.971800000000002,29.8061,30.7509,27.1296,32.1794,34.0706,35.7948,39.1854,42.1465,44.0895,47.6352,49.5816,44.9643,45.6995,48.5725,51.9494,53.4497,56.6575,62.3003,65.681,69.7198,77.4451,74.2789,79.1043,87.5478,89.9,92.6521,96.8377,100,103.449,108.863,107.691,108.797
Guinea,90,GDP Deflator,22024,"Value US$, 2015 prices",6179,46.0661,50.2114,54.8623,57.8816,61.478,65.8023,71.2616,77.6987,85.0507,90.3053,93.8424,97.2279,100.303,102.323,104.853,108.551,106.462,111.899,115.34,120.328,113.949,114.798,124.488,123.878,115,100.374,93.0138,81.235,74.7719,71.1525,82.1352,84.7084,66.4575,69.2424,96.4956,102.73,100.207,97.5492,91.4446,97.1889,102.551,103.629,100,88.276,96.0397,95.5354,102.429
Guinea-Bissau,175,GDP Deflator,22024,"Value US$, 2015 prices",6179,98.013,103.008,109.844,94.2216,87.2536,89.0883,95.5794,107.382,117.575,92.3867,96.0052,99.4688,86.2937,96.8543,99.249,87.834,101.101,104.886,108.433,110.904,113.532,115.956,118.387,76.4491,55.5165,60.863,58.0691,51.989,53.4089,58.1088,67.5353,73.2695,77.6393,76.5391,87.1642,104.926,97.062,95.2811,114.041,104.508,106.989,106.75,100,105.927,114.527,113.455,103.843
Guyana,91,GDP Deflator,22024,"Value US$, 2015 prices",6179,37.1922,48.6839,51.8618,44.515,45.2587,51.9473,55.3568,61.8818,58.5416,57.244,61.7979,59.5267,60.5207,68.6988,45.0888,56.2874,54.4426,58.4944,48.5408,48.2918,55.6877,59.9794,65.1303,68.5137,68.4846,66.7352,62.7544,65.2704,63.7884,64.363,66.5328,68.2903,72.9305,76.9138,82.3413,89.639,90.5318,94.2732,96.3639,100.751,99.7052,97.1073,100,100.898,103.026,99.4652,102.026
Haiti,93,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.8502,13.569,16.1714,19.2376,20.6273,20.2346,20.8675,24.8841,26.2166,28.3091,30.8882,34.4502,37.8907,42.4099,37.4058,36.4887,39.3423,44.0617,41.8436,31.1467,28.1759,37.6408,43.4504,45.9842,48.869,55.4181,58.7117,52.1669,50.4669,46.3618,40.6204,54.5208,59.2067,67.9301,85.4877,88.0124,86.6038,94.5403,99.8175,101.487,104.426,104.79,100,89.6365,99.3641,106.714,93.3844
Honduras,95,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.1549,26.5769,28.2738,30.6862,34.4297,36.1724,40.3278,45.6558,48.9268,51.0953,54.6538,56.497,59.4622,61.7769,63.5254,67.6431,72.4288,42.6967,41.6174,43.9086,42.3787,42.0373,46.6005,46.3567,51.0264,55.3359,58.1359,61.0607,63.2912,62.6532,62.778,63.6683,66.0321,69.3325,73.9266,79.6494,85.7848,89.7961,96.6939,97.1505,94.3651,97.7855,100,99.6378,101.244,101.381,103.165
Hungary,97,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.7044,17.2886,18.563,20.7901,21.7522,24.3137,27.6508,31.9373,31.8386,31.5285,28.4079,26.8295,27.2375,30.9,32.6384,34.9738,35.1946,41.6228,44.1424,50.749,52.8813,55.2405,58.5771,58.8062,57.7941,57.2828,55.9943,51.5679,56.4027,67.7286,82.1071,95.4622,99.5224,97.8645,118.229,132.179,117.145,116.869,123.203,113.221,117.153,116.844,100,100.563,107.276,114.202,111.279
Iceland,99,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.476,30.496,28.1356,31.5084,38.3026,41.0906,44.5154,49.8845,49.4232,44.4142,39.1529,38.9391,39.272,49.4078,62.9816,69.7335,64.6098,72.8264,77.9654,82.6875,71.6756,71.08,79.155,78.9171,76.0513,79.5658,80.7731,77.2812,67.7864,76.2658,91.5791,102.739,117.42,114.244,130.542,106.518,84.0101,90.4294,98.326,94.2854,98.5946,106.971,100,111.201,126.329,127.896,117.934
India,100,GDP Deflator,22024,"Value US$, 2015 prices",6179,40.4453,45.0923,42.8965,42.4968,46.0321,50.3063,58.6989,67.6422,68.078,67.3895,68.49,65.696,64.6934,67.7595,72.0758,72.6531,67.5743,69.3231,60.691,58.0291,54.1865,57.9219,61.1192,60.1709,62.515,59.4281,58.6965,58.2827,57.295,57.6832,62.5214,67.9489,73.7486,77.8144,91.185,94.6326,91.041,106.52,113.479,106.973,103.587,102.773,100,98.5624,105.543,105.065,105.089
Indonesia,101,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.152,32.6322,36.7013,42.0089,47.4728,49.4451,46.4853,59.6594,70.1652,70.4546,58.5389,56.1599,54.6394,47.3067,42.7595,47.2681,49.5141,51.2323,52.682,53.3308,56.4761,58.7935,62.0789,64.7669,58.698,29.8912,43.5009,44.4802,41.727,48.6939,55.762,58.0807,61.1641,73.9358,82.4248,91.7823,92.7681,114.785,127.855,123.946,116.737,108.526,100,103.063,106.905,104.314,106.657
Iran (Islamic Republic of),102,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.2121,21.3029,24.1342,26.7352,32.4049,35.9962,47.4179,63.9969,72.8537,73.2898,81.9013,92.5045,41.8155,44.7309,53.3572,59.8829,55.6157,51.818600000000004,50.1459,50.6619,55.8922,54.5381,53.2545,54.0535,49.3311,46.8106,47.3682,43.0287,45.9248,52.5074,50.0842,59.3531,68.5378,76.7599,93.2474,109.617,109.593,122.17,146.02,157.898,141.534,111.356,100,95.3515,99.5854,105.511,147.512
Iraq,103,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.4221,15.7199,17.176,18.1213,19.2472,20.601,22.3102,24.3255,26.6273,28.2723,29.3797,30.4396,31.4023,32.0347,32.8267,33.9847,35.317,36.639,37.8781,35.6113,17.1194,14.3553,15.1447,17.7502,15.9195,15.0565,22.3436,25.1207,25.6717,27.192,38.569,39.6074,53.1135,65.2253,87.7584,112.753,113.612,114.936,143.313,147.623,147.627,143.43,100,87.7928,104.395,117.002,117.087
Ireland,104,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.1955,18.4193,20.939,20.584,22.6334,27.4992,33.3655,38.4251,35.3471,35.9021,34.8016,32.2914,33.1378,44.9289,50.707,53.665,52.6893,61.0391,60.4675,65.7196,59.9837,61.7867,68.2435,69.6539,68.5711,68.6242,68.0301,62.8968,65.2923,72.2555,90.0524,99.5726,102.795,107.284,118.48,126.292,114.181,105.63,112.362,106.241,111.25,111.173,100,100.747,104.58,109.668,107.232
Israel,105,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.4172,24.792,23.7873,24.983,26.8346,25.1024,30.4675,34.0437,34.281,36.6942,39.5885,36.7938,33.3608,39.691,44.5055,52.8927,52.3838,57.7248,61.3446,63.7106,61.4981,65.049,69.8094,72.8414,72.989,70.7878,69.0072,71.645,70.6757,65.5837,67.9958,69.1676,69.8722,71.387200000000007,78.198,91.3812,86.8383,92.7697,98.8395,94.9677,103.636,105.638,100,102.309,109.402,110.952,114.287
Italy,106,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.3115,19.7387,23.0023,21.1911,23.6825,28.0573,33.0865,38.7795,34.7058,34.2864,35.1408,33.6476,33.8012,46.5347,56.7433,60.2586,60.7066,75.3588,78.2643,82.2521,66.9346,67.6442,70.6422,77.9408,72.4245,72.7502,70.5663,62.1178,62.1632,67.5192,83.5193,94.3385,96.3842,99.294,111.017,121.67,117.324,112.343,119.811,112.452,117.538,118.522,100,100.869,103.762,109.59,104.623
Jamaica,109,GDP Deflator,22024,"Value US$, 2015 prices",6179,21.7844,28.1558,34.0143,37.7033,42.3161,34.2508,32.0977,37.4989,40.6524,44.4,47.6998,31.5517,29.2786,34.7838,38.5989,43.855,47.1349,46.716,41.3958,33.588,42.4368,42.1582,50.338,56.4088,64.7219,68.5455,68.6458,69.0797,69.6426,73.1201,68.4385,72.8762,79.8209,82.3071,87.0481,93.9985,86.8792,96.1658,103.284,106.527,102.253,98.7998,100,97.8056,101.875,106.209,105.939
Japan,110,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.6375,27.6877,29.2045,31.5681,37.2181,49.6741,49.015,49.948,52.8564,47.6164,50.4072,51.1475,51.572,74.1759,86.2872,97.9965,92.9461,90.8703,100.534,108.71,124.522,135.834,146.814,126.317,114.14,105.448,119.597,124.663,109.324,104.414,111.103,117.742,114.379,107.441,105.34,118.832,130.462,136.432,147.55,146.456,119.338,111.852,100,111.562,107.959,109.556,111.628
Jordan,112,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.4354,18.9933,25.0614,28.33,32.1919,37.1181,37.2144,43.2894,39.3963,39.16,41.8682,40.9726,44.3807,50.8001,52.4023,47.8825,36.6025,35.7421,36.6906,40.7001,41.0549,43.5059,44.2254,44.5842,45.1343,47.8441,47.6634,47.4672,47.8366,48.2772,49.3122,50.8384,51.859,57.3831,60.2811,72.198,74.445,80.4585,85.2145,89.1417,94.6162,97.8748,100,101.361,103.062,104.828,106.58
Kazakhstan,108,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,32.8967,33.6761,34.3952,35.1164,35.7594,37.0515,37.7168,27.9909,27.64,29.4923,29.8717,34.2046,43.6763,52.7058,67.515,80.2481,98.8684,84.4205,101.015,122.376,126.09,135.33,121.522,100,73.6406,85.9559,88.775,86.0546
Kenya,114,GDP Deflator,22024,"Value US$, 2015 prices",6179,29.9382,34.0323,37.4564,38.3754,45.4347,49.3566,54.5613,60.1825,54.6958,50.8076,46.6027,47.4192,45.0435,49.5797,51.5313,51.8637,48.4946,47.607,44.2519,44.0938,30.5037,37.8215,46.6585,45.8444,49.7734,51.7859,46.3125,45.3822,44.749,45.0684,49.6358,50.9987,56.0617,63.3196,73.3325,82.1765,82.0399,81.7691,80.8234,92.8845,95.8756,101.49,100,102.092,111.175,116.239,120.026
Kiribati,83,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.6946,30.7829,28.1529,28.6922,28.3495,32.6501,35.2384,35.0756,42.8309,38.3312,40.1041,40.8726,31.8528,30.3017,36.3516,39.6316,41.5377,39.0961,43.5647,44.1389,42.9318,49.3735,50.7532,58.8526,57.8067,52.6191,57.0132,54.9639,50.4006,56.794,69.6529,76.9904,80.3559,79.034,93.2232,101.222,94.2759,112.189,128.525,128.499,119.976,116.643,100,106.126,104.38,107.17,103.768
Kuwait,118,GDP Deflator,22024,"Value US$, 2015 prices",6179,9.2777,25.6529,27.0212,27.6749,31.0207,31.6801,44.4054,63.8744,69.3329,67.1572,60.1613,59.4438,61.361,47.1855,54.5066,56.0524,52.324,53.8817,54.4647,53.7447,48.4486,46.2803,48.7647,56.1538,52.7998,43.5427,51.4744,61.5674,56.828,60.2953,64.5171,72.6594,89.299,104.399,111.179,139.478,107.923,120.399,146.579,155.323,153.665,142.794,100,92.7657,107.392,123.628,117.814
Kyrgyzstan,113,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,52.1838,53.4202,54.5609,55.705,63.694,56.0655,50.9561,37.4481,38.939,41.2096,43.335,48.4524,52.1198,58.0654,64.8775,80.1944,99.9979,88.6854,91.0872,111.131,118.54,118.684,116.163,100,97.7807,105.549,109.229,106.837
Lao Peoples Democratic Republic,120,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.1438,14.3266,15.6536,16.5151,17.5412,18.7751,20.3328,22.1694,24.2671,25.7664,26.7756,27.7416,28.6189,29.1953,29.9171,30.9724,32.1867,33.3915,38.0329,41.3273,44.0608,47.4275,50.8283,50.1246,43.6969,30.9221,32.6158,36.7351,35.1436,34.3168,37.0109,40.798,43.6918,53.962,57.8409,67.3053,66.1604,73.8782,81.7343,88.3129,95.7962,98.9058,100,102.627,103.697,103.719,102.828
Latvia,119,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,41.4181,42.3994,43.3048,44.2129,47.6067,47.7828,49.3272,50.4636,50.4473,49.8436,53.2024,60.3925,68.2304,72.5606,82.2119,107.669,128.428,110.263,104.644,117.807,111.86,117.447,119.622,100,100.596,105.787,114.907,111.57
Lebanon,121,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.1491,16.4958,22.0595,22.4784,22.9572,26.3857,27.8517,31.9008,30.3251,32.719,28.2556,13.7366,9.5142,12.5967,8.3773,18.6089,26.524,21.6836,23.1649,29.1827,37.6185,41.2366,47.5634,53.6006,62.7526,65.684,66.3689,64.2164,63.2566,67.0714,68.7597,69.1228,68.3886,68.9909,71.1523,76.5124,84.3814,84.8696,87.3861,93.991,96.4482,96.5898,100,100.99,103.923,109.595,112.773
Lesotho,122,GDP Deflator,22024,"Value US$, 2015 prices",6179,32.6678,35.122,39.8118,33.7327,37.5427,43.2468,52.8032,71.4329,71.8433,63.6456,71.0832,60.9993,44.6659,48.9271,62.348,64.7457,63.1953,69.28,74.0931,85.0704,81.6043,80.8619,86.5085,78.916,79.408,73.2138,71.108,65.0766,57.185,52.8846,74.5444,92.8033,100.181,100.29,107.059,101.53,98.285,118.36,129.811,117.2,107.735,108.169,100,86.8942,97.7398,105.171,98.995
